"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FNDC3A",87.706970124645,2.42723968977406,0.100359456087303,24.1854607867005,3.16443622256246e-129,1.05282406916962e-127
"FNDC3B",109.095449714787,2.30721772677637,0.092138402030557,25.0407829518381,2.19998768501977e-138,8.27338727160944e-137
"FNIP1",48.1037587464148,2.72615204863324,0.0684317503933593,39.837532036851,0,0
"FNIP2",70.1966954067427,2.54617872805293,0.137398085415883,18.5313988935584,1.15251401960728e-76,1.99924541782743e-75
"FOSL1",20.3208811570401,-2.17393113208883,0.437607983763144,-4.96775930227424,6.77309581639162e-07,1.37691779873942e-06
"FOXN2",22.7232717941467,2.27538695721502,0.0916753506902811,24.8200518468946,5.44678668442794e-136,2.00316260293729e-134
"FOXP2",7.12073886103606,2.35992122312814,0.152603333795347,15.4644145998342,6.03191166918864e-54,7.14355442748032e-53
"FREM2",31.6254401377726,4.18606846401133,0.24341763396101,17.1970633182715,2.7933442250537e-66,4.12135005869525e-65
"FRK",22.8769662879099,2.83912160483072,0.115397579158363,24.6029563664809,1.17443023863159e-133,4.16603445169434e-132
"FRRS1",5.23655542084697,2.28662633916804,0.165945251535308,13.7794020498473,3.39068934985234e-43,3.20184353017838e-42
"FRYL",102.467696944671,2.6010878963429,0.0942571858038224,27.5956456174764,1.25498520226016e-167,6.87264706566193e-166
"FSD1L",5.50613034713826,2.08739642932185,0.163281780238764,12.7840131720115,2.01402937174009e-37,1.63708075422319e-36
"FUT10",9.74557136019438,2.03539229472797,0.119774277349392,16.9935677323317,9.16415155072006e-65,1.31460892943169e-63
"FZD3",9.75293905115827,2.16577536289096,0.147769564495402,14.6564373407107,1.22535846331802e-48,1.29848190268975e-47
"G2E3",12.340208949898,2.10964645392395,0.108994957363718,19.3554500588868,1.83385836741843e-83,3.52330919374052e-82
"GAB1",46.2807554602582,2.08582406299952,0.102086243876961,20.4319797044687,8.69060398517594e-93,1.90926080230696e-91
"GABBR1",112.038891202885,-2.19610590632838,0.12999769637046,-16.8934217116435,5.0299392628707e-64,7.11350034301366e-63
"GABRB2",1.95581399497069,2.3971183455196,0.316918412841294,7.56383425004728,3.91358369201586e-14,1.26422655110222e-13
